name,icao,lat,lon
Nimes,LFTW,43.758662,4.416307
Toulouse,LFBO,43.629799,1.363378
Barcelona,LEBL,41.296944,2.078333
Dusseldorf,EDDL,51.289444,6.766667
Perpignan,LFMP,42.741184,2.8698801
Beziers,LFMU,43.321431,3.3526794
Marseille,LFML,43.439287,5.2155867
Cannes,LFMD,43.5457992,6.9542832
Carcassonne ,LFMK,43.216128,2.30672
Auch-Gers,LFDH,43.6870266,0.5989421
Ajaccio,LFKJ,41.891909,8.7747041
Rennes,LFRN,48.0716031,-1.7328642
Tarbes,LFBT,43.1906588,-0.0063564
Pau,LFBP,43.380196,-0.4177319
Biarritz,LFBZ,43.4704859,-1.5342871
Bastia,LFKB,42.5458566,9.4850584
Le Bourget,LFPB,48.953472,2.4341689
Quimper,LFRQ,47.9735789,-4.1724343
Madrid,LEMD,40.492772,-3.5720679
Nice,LFMN,43.68237,7.1898907
Valence,LFLU,44.9161821,4.9636674
St Yan,LFLN,46.4120939,4.0112157
Le Havre,LFOH,49.5295763,0.0819308
La Rochelle,LFBH,46.1769588,-1.2008125
Grenoble,LFLS,45.3528589,5.318234
Bordeaux,LFBD,44.8288269,-0.7150257
Lyon-Bron,LFLY,45.7268997,4.9385789
Berlin,EDDB,52.3693698,13.504344
Agen,LFBA,44.1740559,0.5933002
Lille,LFQQ ,50.563194,3.0674215
Vannes,LFRV,47.7192383,-2.7304226
Angers,LFJR,47.5604794,-0.3113935
Annecy,LFLP,45.9331257,6.0901603
Chambery,LFLB,45.6323211,5.8770192
Niort,LFBN,46.3118978,-0.406412
Biscarrosse,LFBS,44.426683,-1.0885549
Colmar,LFGA,48.1076269,7.3491389
Montpellier,LFMT,43.5806622,3.9629837
Strasbourg,LFST,48.5397559,7.6299328
Melun,LFPM,48.6051631,2.6662996
Arcachon,LFCH,44.5960252,-1.1167182
Woensdrecht,EHWO,51.4459931,4.3366702
Genoa ,LIMJ,44.4164014,8.8365337
Le Mans,LFRM,47.9495543,0.2020098
Dortmund,EDLW,51.5178781,7.6100148
Avignon,LFMV,43.9054211,4.900373
Milan,LIMC,45.6284671,8.7209067
Torino,LIMF,45.2025317,7.6484241
Lemnos,LGLM,39.916632,25.2333677
Alexandroupoli ,LGAL,40.855516,25.9523327
Ronneby,ESDF,56.267925,15.2629337
Aix-les-Milles,LFMA,43.50541,5.3647137
Alghero,LIEA,40.633125,8.2886227
Collegno ,LIMA,45.086398,7.6007857
Le Versoud,LFLG,45.218194,5.846288
Jersey ,EGJJ,49.207888,-2.1985899
Granville,LFRF,48.882318,-1.5672226
Besancon,LFQM,47.206537,6.0803421
Bologna,LIPE,44.5281727,11.2889339
Venice,LIPZ,45.4996124,12.3393073
Kalamata ,LGKL,37.060821,22.026304
Caserta,LIRM,41.05999,14.0792657
Trento,LIDT,46.023292,11.1222367
Cervia,LIPC,44.2217257,12.3072958
Tanagra,LGTG,38.3392219,23.5631685
Skopje ,LWSK,41.959687,21.6196067
Elefsina ,LGEL,38.0566534,23.5478444
Andravida ,LGAD,37.9226467,21.2905962
Brindisi-Casale,LIBR,40.6581249,17.9451973
Trapani-Birgi,LICT,37.9137533,12.4910957
Thessaloniki,LGTS,40.520219,22.9692581
Karain ,LTXE,37.0959994,30.6454992
Balekesir,LTBF,39.6158461,27.9254574
Taranto-Grottaglie,LIBG,40.5156,17.4013438
Dubrovnik ,LDDU,42.5605851,18.2618349
Araxos ,LGRX,38.151015,21.4232891
Torrejon,LETO,40.494868,-3.4532525
Larnaca ,LCLK,34.8734194,33.6209361
Abruzzo ,LIBP,42.4290849,14.1812769
Heviz-Balaton,LHSM,46.685565,17.1567861
Selcuk Efes,LTFB,37.9507862,27.3260051
Aviosuperficie Rivoli Avro,LIKH,46.2346467,13.0703801
Clermont-Ferrand,LFLC,45.7870382,3.1721919
Adnan Menderes,LTBJ,38.285595,27.1564641
Adana Sakirpasa,LTAF ,36.9821716,35.2800263
Perugia San Francesco d'Assisi ,LIRZ,43.098204,12.5114657
Albacete-Los Llanos,LEAB,38.9484151,-1.8660523
Zielona Gora,EPZG,52.1383783,15.7956287
Friedrichshafen,EDNY,47.6711992,9.5120569
Rodez,LFCR,44.4074918,2.4807577
Chateauroux,LFLX,46.8598899,1.7276122
Dole,LFGJ,47.0397296,5.4263357
Akrotiri ,LCRA,34.589864,32.9871901
Saarbrucken ,EDDR,49.214563,7.1072591
Lubeck ,EDHL,53.80487,10.7144261
Daskalogiannis,LGSA,35.532226,24.1454441
Perigueux ,LFBX,45.198053,0.8110781
Villacoublay ,LFPV,48.773155,2.1986191
Istres - BA125,LFMI,43.5223098,4.9193171
Cazaux - BA120,LFBC,44.5348898,-1.1263219
Hyeres,LFTH,43.097391,6.1438277
Poprad-Tatry,LZTT,49.0731585,20.2414951
Orleans-Bricy - BA123,LFOJ,47.9881986,1.7610081
Mont-de-Marsan - BA118,LFBM,43.911525,-0.5118289
Aubenas Ardeche,LFHO,44.5449468,4.3695077
Brescia ,LIPO,45.4290257,10.3280277
Royan,LFCY,45.6307477,-0.9749983
Albert-Picardie,LFAQ,49.9701394,2.6902377
Epinal,LFSG,48.325032,6.0657801
Menorca,LEMH,39.86334,4.2163171
Lamezia Terme,LICA,38.905348,16.2425621
