name,ref,lat,lon
Mas Thibert,RA01,43.5635959,4.6915051
Vallabregues,RA02,43.8662652,4.6136777
Chateau Neuf du Pape,RA03,44.0333333,4.8140918
St Etienne des Sorts,RA04,44.1833333,4.7140918
Montelimar,RA05,44.5996575,4.7100377
Charmes,RA06,44.8673431,4.8467354
Andance,RA07,45.2168119,4.8019961
Paladru,RA08,45.4509892,5.5247047
Aiguebelette,RA09,45.5505384,5.796675
Le Bourget,RA10,45.7358352,5.8481372
Annecy,RA11,45.8487931,6.1578239
Laffrey,RA12,45.0140009,5.7729581
Monteynard,RA13,44.9007809,5.6721631
Serre Poncon,RA14,44.4840632,6.2890114
St Cassien,PC01,43.6,6.8140918
Castellane,PC02,43.9,6.5307584
Ste Croix,PC03,43.75,6.1640918
Port de Bouc,PC04,43.4130219,4.8435971
Berre,PC05,43.4854182,5.0608696
Port de Marseille,PC06,43.332529,5.3236778
La Ciotat,PC07,43.1652823,5.6178301
le Brusc,PC08,43.1,5.7974251
St Mandrier,PC09,43.1,5.9307584
Hyeres,PC10,43.0666081,6.1128247
St Tropez,PC11,43.2835927,6.610885
St Raphael,PC12,43.4138115,6.7554445
Cannes-Nice,PC13,43.5244942,7.0503617
Beaulieu-Menton,PC14,43.7005297,7.3312866
Ajaccio,PC15,41.9159728,8.7446222
Sagone,PC16,42.1,8.6974251
Porto,PC17,42.2833333,8.6640918
Calvi,PC18,42.5665773,8.781766
Ile Rousse,PC19,42.6427779,8.9446791
St Florent,PC20,42.7016133,9.2900531
Diane,PC21,42.1319009,9.5313971
Urbino,PC22,42.0484589,9.4761321
Pinarelo-Cipriano,PC23,41.6656189,9.3823621
Porto Vecchio,PC24,41.6001542,9.2925118
Santa Manza,PC25,41.4158749,9.231331
Figarri,PC26,41.4674429,9.0601551
Propriano,PC27,41.6924654,8.8905689
Thau,LM01,43.4072293,3.5917608
Bages,LM02,43.1000614,2.9805194
Salses,LM03,42.8271929,2.9870541
Villeneuve de la Raho,LM04,42.6316039,2.8975221
Vinca,LM05,42.6530579,2.5290121
Matemale,LM06,42.5700879,2.0975711
Montbel,LM07,42.9808459,1.9514571
Lestrade,LM08,43.3198419,1.7979521
La Salvetat,LM09,43.5972679,2.6299101
Salagou,LM10,43.6563319,3.3660841
Roucarie,LM11,44.0818779,2.1410151
Villefranche de Panat,LM12,44.1020849,2.6908451
Pareloup,LM13,44.2039579,2.7615201
Naussac,LM14,44.7408029,3.8105381
St Etienne de Cantales,LM15,44.9342739,2.2327531
Lissac,LM16,45.0961619,1.4456771
Bort les Orgues,LM17,45.4351549,2.4901591
Vassiviere,LM18,45.8003229,1.8939551
Beautiran,SO01,44.7250409,-0.4583529
Libourne,SO02,44.9150968,-0.3220633
Bec d'Ambes,SO03,45.0145297,-0.6107721
Pauillac,SO04,45.1629272,-0.7280259
St Christoly,SO05,45.3827059,-0.7968049
Hourtin,SO06,45.1277874,-1.1445696
Lacanau,SO07,44.9680604,-1.1295349
Cazaux,SO08,44.4867419,-1.1646919
Biscarrosse,SO09,44.3444789,-1.1766529
Mimizan,SO10,44.2262909,-1.2106289
Leon,SO11,43.8953939,-1.3246309
Souston,SO12,43.7793139,-1.3213819
La Honce,SO13,43.4968739,-1.3885059
Urt,SO14,43.5017039,-1.2881079
Morcenx,SO15,44.0373939,-0.8578299
Cauzaubon,SO16,43.9364839,-0.0480949
Moissac,SO17,44.0879379,0.9941751
Eymet,SO18,44.6697099,0.3442511
Touhars sur Garronne,SO19,44.2668589,0.3309301
Daban,SO20,43.2832229,-0.1390599
Boulogne sur Gesse,SO21,43.3310359,0.6667721
Portofino,IT01,44.30923,9.2305117
Laveno,IT02,45.913764,8.5887147
